㐂;匕
瘵;丶二夕小疒示
瘸;入冂力口疒肉
瘹;丶勹疒金
瘺;尸疒雨
瘻;丨一口女疒
瘼;大⺾日疒
癀;ハ田疒黄
癁;一丿夂彳日疒
療;小日丷𠆢疒
癃;一夂⻖生疒
癄;⺣疒隹
癅;一丨田疒
癆;火力冖疒
癇;日門疒
癈;二儿疒癶
癉;十口日田疒
癊;一丶𠆢厶ユ⻖疒
癋;一丨二心疒
癌;口山疒品
癒;⺉月心𠆢疒
癕;亠幺疒隹
癖;口十辛立尸疒
癘;田疒禸⺾
癙;疒臼鼠
癜;ハ尸殳疒几又
癟;一丨亅𠆢冂廾疒目冊自
癡;疋矢匕疒
癢;王食丷羊疒
癤;匕卩厶日疒白竹
癥;一山彳攵王疒
癧;止木厂疒
癨;雨疒隹
癩;貝目ハ口頁木疒
癪;禾貝目ハ土二亠疒
癬;王丷羊疒魚
癭;ハ女疒目貝
癮;工ヨ⻖心爪疒
癯;疒目隹
癰;口巛巴疒隹
癱;丶丿二十口大廾疒隹革
癲;貝十ハ頁目疒
癴;小幺手疒糸言
癶;癶
癸;大二癶
発;二儿癶
登;口豆丷癶
發;弓殳癶几又
白;白
百;一白
皀;白匕
皁;十日白
皃;白儿
的;白丶勹
皅;乙已日巴白
皆;白比
皇;王白
皈;白又厂
皋;十大白
皌;一日木白
皍;匕卩日白
皎;白父亠
皐;十白二
皓;丿口土白
皕;一日白
皖;二白儿宀元
皙;斤白木
皚;口山豆白丷
皛;日白
皜;亠冂口日白高
皝;一儿⺌日王白
皞;十大日白
皟;一丨二ハ日白目貝
皠;山日白隹
皡;二十日白
皢;一儿土日白
皣;一丨二⺾日白
皤;丿日田白米
皥;丨丶丿二冫日白目自
皦;攵方日白
皧;冖夂心日爪白
皨;土日白
皪;幺日木白
皭;一厶寸日爪白⺲
皮;皮又
皯;一十又干皮
皰;皮又勹已
皴;皮又儿厶夂
皶;一又木皮目
皷;鼓口士丷皮十又支豆
皸;車皮又冖
皹;車皮又冖
皺;皮又勹屮
皽;一丿亠十又口囗支日
皿;皿
盁;乃皿
盂;皿二亅
盃;丿一皿
盅;丨口皿
盆;皿刀ハ
盈;丿一皿又
盉;丿木皿禾
益;一皿ハ丷
盋;又弋皿
盌;卩夕皿
盍;皿土厶
盎;口大皿
盒;口皿𠆢
盔;一丿火皿
盖;王皿丷羊
盗;欠皿冫
盙;丶十月皿
盛;丿皿戈
盜;欠皿⺡
盞;皿戈
盟;月皿日
盠;ヨ彑皿豕
盡;ヨ皿聿
監;皿臣二
盤;皿舟殳几又
盥;臼皿水
盦;一丶𠆢皿酉
盧;皿田卜匕厂虍
盨;ハ彡皿目貝頁
盪;丿皿⺡日勹
盬;一丿匚十口干皿臣
目;目
盰;一十干目
盱;亅二目
盲;亡目亠
直;十目丨一
盶;二儿元目
相;木目
盹;丿乙凵屯目
盻;ハ目一勹
盼;ハ刀目
盾;斤十目厂
眀;月目
省;丿小目
眄;目一山亅
眆;方目
眇;丿小目
眈;目尢
眉;目尸丨
眊;一丿乙目
看;丿一手二目
県;小目
眎;二小目示
眒;丨日目
眔;丨丶丿⺲
眕;𠆢彡目
眗;勹口目
眙;厶口目
眚;生目
眛;丨二ハ木目
眜;一木目
眞;ハ目匕
真;一十ハ目
眠;口氏目
眢;卩夕目
眤;目匕尸
眥;止目匕
眦;止目匕
眨;丶丿乙目
眩;玄目亠幺
眭;土目
眮;一冂口目
眯;目米
眴;勹日目
眵;夕目
眶;匚王目
眷;人大二丷目
眸;牛目厶
眹;一ハ丷大目
眺;目儿冫
眼;艮目
眽;丶丿目
眾;丨丿人⺅⺲
着;丿王丷目羊
睂;丨𠆢厂目
睅;一十干日目
睆;二儿宀元目
睇;丨丿弓丷目
睊;口月目
睍;儿目見
睎;一丨丶丿冂巾目
睏;囗木目
睒;火目
睖;ハ土夂目
睗;丿勹日曰勿目
睘;一亠口⺲衣
睚;土目厂
睛;月青土二目亠
睜;亅ヨ爪目
睞;人木目
睟;亠人十目
睠;一丶丿ハ丷卩大目
睡;丨丿一目
睢;目隹
督;小卜又目
睤;廾田目
睥;十田目
睦;土目儿
睧;日氏目
睨;臼目儿
睪;一丷十土干⺲
睫;丨ヨ走土目
睬;木爪目
睰;一丿口⺾目
睲;日生目
睳;土大目
睴;冖目車
睹;日目⺹
睺;一丿⺅ユ大目矢
睼;日疋目
睽;一丶丿大目
睾;十辛土⺲目立亠
睿;ハ卜目𠆢冖
瞀;マ攵目矛
瞄;⺾田目
瞋;十ハ目
瞌;厶土皿目
瞍;十又支目臼
瞎;口土二目亠宀
瞑;日ハ目亠冖
瞔;一丨二ハ目貝
瞕;十日目立音
瞖;一丿几匚又大殳目矢
瞚;一丨ハ宀日田目
瞞;丨一入目冂凵
瞟;二小目示西
瞠;口⺌土目冖
瞢;冖⺾目⺲
瞤;王目門
瞥;丨巾⺌丷目冂攵
瞧;⺣目隹
瞩;丿冂厶尸目禸虫
瞪;丶丿丷口目豆
瞬;牛舛爪目夕冖
瞭;小日丷目𠆢
瞮;亠厶攵月目
瞯;月目門
瞰;耳目攵
瞱;丨二⺾目
瞳;目里立
瞵;夕目米舛
瞶;丨一貝ハ口目
瞹;心爪目冖夂
瞻;言目儿厂勹
瞼;口人目𠆢
瞽;口士支十豆丷目又鼓
瞾;儿ハ宀工目
瞿;目隹
矃;一亅宀心皿目
矇;目冖⺾豕
矉;一丨丿ハ宀目貝
矍;又目隹
矑;匕卜厂田皿目虍
矒;冖⺾目⺲
矕;小幺目糸言
矗;十目丨一
矙;ユ攵目耳門
矚;虫⺲目勹尸
矛;矛マ
矜;矛𠆢マ
矞;儿ハ冂マ口矛
矟;マ⺌月矛
矠;丨二マ日矛
矢;丿大一矢
矣;矢厶
矤;一丿大弓矢
知;口矢
矦;一丿勹厂大矢
矧;丨弓矢
矩;矢巨
矪;一丨丶丿冂大矢舟
矬;一丿人土大矢
短;口豆丷矢
矮;禾女矢
矯;丿口矢冂大
矰;一丨丿ハ丷口大日矢
矱;一丿又大⺾矢隹
石;口石
矴;一亅口石
矸;一十口干石
矻;一丿乙口石
矼;口工石
砂;丿口小石
砅;口水石
砆;一口大石
砉;一丨二口彡石
砌;口石刀匕
砍;人勹口欠石
砎;丨丿𠆢口石
砑;口石牙
砒;口石比
研;丨口石亅廾丿
砕;丿口十石九
砙;一丶口瓦石
砝;厶口土石
砠;口石目
砡;丶口王石
砢;一亅口石
砣;匕口宀石
砥;口氏石
砦;口止石匕
砧;口石卜
砬;口石立
砭;丨丶丿乙口石
砮;又口女石
砰;一ハ丷十口干石
砲;口石勹已
破;口石皮又
砵;一口木石
砷;丨口日田石
砺;一斤口石厂
砿;口石厶广
硃;一丿口木石
硄;一儿口⺌石
硅;口石土
硇;丶丿口囗石
硈;口士石
硌;口夂石
硎;一⺉口廾石
硏;一十口干石
硑;一丷口廾石
硒;口石西
硜;一口巛工石
硝;月口⺌石
硞;口土石
硠;丶口石艮
硡;一丿厶口宀石
硣;丿口土子⺹石
硤;人口大石
硨;口石車
硪;口戈手石
硫;口石川亠厶
硬;丿一口石日
确;丨勹口月石角
硯;見口石
硲;口石谷ハ𠆢
硴;⺅口石匕⺾
硺;丶口石豕
硼;月口石
硾;一丨丿二口石
碁;丨一口石二ハ
碆;口⺡石皮又
碇;口石疋宀
碊;口戈石
碌;ヨ口水石隶
碍;口寸石日一
碎;口十人石亠
碏;丨二口日曰石
碑;口十石田
碓;口石隹
碔;一口弋止石
碕;口石大丨一
碗;口石夕卩宀
碘;一丨ハ口日石
碚;口石立
碝;口大石而
碞;口石
碟;一丨口木石世
碡;一丨二口毋石母
碣;口石日勹匕
碤;口大⺾石
碧;王口石白
碨;口田石衣
碩;貝目ハ口石頁
碪;甘口石儿匚
碬;一丨又口石
碭;一丿勹口日勿石
碯;口石巛囗
碰;丨丶丿二丷口石
碱;一丿厂口戈石
碲;丨亠丷冂冖口巾石立
碳;一丿口山火石
碵;貝目ハ口石卜
確;口石宀隹
碻;亠冂口石高
碼;口石馬
碽;ハ口工目石貝
碾;衣口石二尸
碿;口⺌尸月石
磁;一口石丷幺
磅;口石丷方立亠冖
磆;月口骨石冂冖
磇;丶丿匕口囗比石
磈;儿匕厶口田石鬼
磉;又口木石
磊;口石
磋;王口工石丷羊
磌;一ハ匕十口目石貝
磎;口大幺爪石
磐;口舟石殳几又
磑;口山石豆丷
磒;ハ口目石貝
磓;丨丿⻌口石
磔;口石舛木夕
磕;厶口土皿石
磖;冫口日白石羽
磚;口十寸石虫日亠厶
磛;口斤石車
磟;𠆢冫口彡石羽
磠;丶丿十卜口囗石鹵
磡;一丨儿ハ力匚口甘石
磤;丿亅几又口ヨ殳石
磦;二口小石示西
磧;貝目ハ口石土二亠
磨;口石木广麻
磪;口山石隹
磬;口士石殳尸几又
磯;丿口石戈幺丶
磲;匚口⺡木石
磳;丨丷口日曰石
磴;口石豆丷癶
磶;勹口⺣石臼
磷;口夕石米舛
磹;十口日石西
磺;ハ口田石黄
磻;丿口田石米
磽;口石土儿
磾;一丨十口日田石
磿;丿厂口木石禾
礀;口月石門
礁;口石⺣隹
礆;一人𠆢口石
礇;口石大米冂
礌;二冖口田石雨
礎;口石疋木
礐;一丨丿冖口爻石
礑;口⺌石田冖
礒;王口石丷羊亅戈
礙;口石疋矢匕マ
礚;厶口土⺾皿石
礛;丿二匚口皿石臣
礜;一丨丿口大石
礞;一冖口⺾石豕
礟;口爻石馬
礠;一丷口幺心石
礥;ハ匚又口目石臣貝
礦;黄口石田ハ广
礧;口田石
礩;ハ口斤目石貝
礪;口石田厂禸⺾
礫;口石白木冫
礬;口石大木爻
礭;二冖口石隹雨
礮;亠口父石馬
礰;丿厂口木止石禾
礱;一乙口月石立竜
礴;丶十口寸⺡⺾月石
礵;二冖口木目石雨
示;示二小
礻;⺭
礼;乙⺭
礽;乃⺭
社;土⺭
礿;一丶勹⺭
祀;⺭已
祁;⻏⺭
祄;丨丿𠆢⺭
祅;丨丿二大⺭
祆;一丨丿二大⺭
祇;氏⺭
祈;斤⺭
祉;止⺭
祊;丨丿二方⺭
祋;几又殳⺭
祏;口⺭石
祐;丿一口⺭
祑;一丿大⺭
祓;丿一⺭丶
祔;丨丿二⺅寸⺭
祕;丿心⺭丶
祖;一目⺭
祗;氏⺭一
祘;二小示
祚;丨丿⺭
祛;丨丿二厶土⺭
祜;丨丿二十口⺭
祝;口⺭儿
神;丨日⺭田
祟;丨山示二小
祠;口⺭亅一
祢;丿小⺭
祥;王丷羊⺭
祧;丨丶丿二儿冫⺭
票;示二小西
祩;一丿木⺭
祫;一丨丿二𠆢口⺭
祭;示二小𠆢癶
祲;丨丿二冖又ヨ⺭
祷;丿寸⺭土亠
祹;丨丿二凵勹山⺭缶
祺;甘ハ⺭
祻;十口囗⺭
祼;丨丿二日木⺭田
祾;ハ土夂⺭
祿;水⺭隶彑
禀;口示二小亠囗
禁;示二小木
禄;ヨ水⺭隶
禅;十⺌田⺭
禊;大土⺭亠刀
禋;丨丿二土⺭西
禌;一丷幺⺭
禍;口⺭冂
禎;貝目ハ卜⺭
福;一口田⺭
禑;冂厶⺭田禸
禓;一丿勹日⺭勿
禔;丨丿二日⺭疋
禕;丨丿二口⺭韋
禖;丨丿二木⺭甘
禘;丨丿二亠丷冂冖巾⺭立
禛;一丨丿二ハ匕十⺭目貝
禜;二冖小火示
禝;田⺭儿夂
禡;丨丿二⺭馬
禦;止示二小卩彳
禧;口士十豆丷⺭
禨;人幺戈⺭
禩;丨丿二ハ⺭田
禪;丨一口田日⺭
禫;一丨丿二冂十日⺭西
禮;丨一口豆日丷⺭
禯;丨厂日⺭衣辰
禰;丨一⺭冂爻
禱;一丨丿二口士寸工⺭
禳;丨衣一ハ⺭亠
禴;一丨丿亅二𠆢冂口廾⺭冊龠
禸;冂厶禸
禹;丿虫禸冂
禺;田日禸冂
离;丶丿亠冂凵十厶禸
禽;𠆢亠冂凵厶禸丶丿
禾;禾木丿
禿;禾儿
秀;乃禾
私;禾厶
秂;丿人木禾
秄;丿子木禾
秇;丶丿九木禾
秈;丿山木禾
秉;丨丿ヨ一禾ハ
秊;丿十木禾
秋;火禾
秌;丿木火禾
种;丨丿口木禾
秏;丿乙二木禾
科;禾斗
秒;丿禾小
秔;丿亠几木禾
秕;禾比
秖;丿木氏禾
秘;丿禾心丶
秚;丨丶丿二ハ丷木禾
秝;丿木禾
秞;丨丿日木田禾
租;一禾目
秠;一丨丶丿二木禾
秡;丿一禾丶
秢;丶丿𠆢マ木禾
秣;丨一禾ハ木亠
秤;禾干丷
秥;丿卜口木禾
秦;一禾二人
秧;禾人大冂
秩;丿禾人土大
秪;一丶丿木氏禾
秫;一丨丶丿乙木禾
秬;禾巨
秭;丨丿亅木禾
称;丿禾小一
秱;一丿冂口木禾
秸;丿口士木禾
移;禾夕
秼;一丿木禾
稀;丿一禾巾丶
稂;丶丿木禾艮
稃;丿子木爪禾
稇;丿囗木禾
稈;禾干日
稉;一丶丿日木禾
稊;丨丿丷弓木禾
程;王禾口
稌;一丿𠆢小木禾
稍;禾月⺌
税;禾口丷儿
稑;丿儿ハ土木禾
稔;禾心𠆢
稕;丿亠口子木禾
稗;禾十田
稘;禾甘ハ
稙;禾十目
稚;禾隹
稛;丿囗木禾
稜;禾土儿夂
稞;丿日木田禾
稟;禾口亠囗
稠;禾口土冂
稡;丿亠人十木禾
稧;一丨丿刀大木禾
稫;一丿口木田禾
稭;丿匕日木比白禾
種;丨禾日里
稯;丶丿ハ凵十夂木禾
稰;丿月木疋禾
稱;丨一禾爪冂
稲;丨禾爪日
稴;一丨丶丿ヨ木禾
稵;一丿丷幺木禾
稷;禾田儿夂
稸;丿亠幺木田禾
稹;一丿ハ匕十木目禾貝
稺;丿十尸木禾立辛
稻;臼禾爪
稼;禾宀豕
稽;禾日匕尤
稾;禾口高亠冂
稿;禾口高亠冂
穀;禾士冖殳几又
穂;禾十心田
穃;禾穴口ハ𠆢宀
穄;丶丿二夕小木示禾
穅;丿广ヨ木水禾隶
穆;禾小白彡
穇;丿𠆢厶彡木禾
穈;丿广木禾麻
穉;禾牛尸
穌;丿木⺣田禾魚
積;禾貝目ハ土亠
穎;禾貝目ハ頁匕
穏;ヨ禾心爪
穐;禾亀乙勹田
穕;丿木禾隹
穖;丿人幺戈木禾
穗;禾心虫日
穙;一丨丶丿二丷大木禾
穜;丿木禾立里
穝;丿又日木禾耳
穟;丿ハ丷⻌木禾豕
穠;丨丿亠厂日木禾衣辰
穡;禾口人土囗
穢;丿禾止小戈
穣;衣禾ハ亠
穥;一丨丿亠ハ木禾
穧;丿亠刀木氏禾齊
穩;ヨ禾工心爪
穪;一丨丿ハ冂木爻禾
穫;禾又⺾隹
穭;丿日木⺣田禾魚
穰;丨衣一禾口亠
穴;穴ハ宀
穵;乙儿ハ宀
究;穴九儿宀
穸;儿ハ夕宀
穹;弓穴儿宀
空;穴工儿宀
穽;丨丿穴二儿宀井
穾;丿ハ大宀
穿;牙穴儿宀
窀;丿乙儿ハ凵宀屯
突;穴大儿宀
窂;儿ハ宀牛
窃;穴刀儿匕宀
窄;丨丿穴儿宀
窅;儿ハ宀目
窆;丶丿乙儿ハ宀
窈;穴力儿宀幺
窊;儿ハ厶宀瓜
窋;丨ハ凵宀
窐;儿ハ土宀
窑;ハ凵宀山缶
窒;一穴至土儿厶宀
窓;穴心儿厶宀
窔;亠儿ハ宀父
窕;穴儿冫宀
窖;丿穴口土儿宀
窗;穴儿囗宀夕
窘;丿ヨ一穴口儿宀
窞;ハ勹宀臼
窟;丨穴山儿宀尸
窠;儿ハ宀日木田
窣;亠人儿ハ十宀
窩;穴口入冂宀
窪;穴⺡土儿宀
窬;一丶𠆢儿ハ冂⺉宀月
窮;弓穴身儿宀
窯;王穴丷羊儿宀⺣
窰;缶穴夕儿凵宀
窳;儿ハ厶宀瓜
窵;儿ハ宀⺣鳥
窶;丨一穴口女儿宀
窹;一二儿ハ口宀爿五
窺;見ハ宀一大穴
窻;丿儿ハ口夂宀心
窼;儿ハ宀巛日木田
窾;二人ハ勹士宀小欠示穴
窿;穴生儿夂宀⻖
竃;亀穴土宀儿乙勹田
竄;臼穴鼠儿宀
竅;穴白方儿宀攵
竆;一丿儿ハ口宀牙
竇;貝目ハ穴士儿冂宀
竈;穴土儿宀黽
竉;乙ハ宀月立竜
竊;穴釆米卜儿冂厶宀禸
立;立
竌;几立
竍;十立
竎;廾立
竏;丿十立
竑;一丿厶立
竒;一口丷立亅亠
竓;毛立
竕;刀丷立
站;口卜立
竚;立亅宀
竛;丶𠆢マ立
竜;立竜田乙
竝;立
竟;音日立儿
章;音十日立
竡;一白立
竢;矢立厶
竣;立儿厶夂
童;里立
竦;丨口丷木立
竧;立身
竨;十卜日立
竩;一宀目立
竪;臣又立
竫;亅勹ヨ爪立
竬;丿冂厶口禸立虫
竭;日立勹匕
端;山而立
竰;里立厂
竱;一厶寸日立虫
竴;ハ丷寸立酉
競;口立儿
竸;音日立儿
竹;竹
竺;竹二
竻;力竹
竽;亅二竹
竾;丨乙匕也竹
竿;干竹
笂;九竹丶
笄;丨丿竹二廾
笆;竹巴
笇;亠卜竹
笈;丿竹及
笊;竹爪
笋;丿ヨ竹
笏;丿竹勹勿
笑;禾竹大
笒;一𠆢竹
笔;一丿乙竹
笘;口竹卜
笙;生竹
笛;丨竹日田
笞;口竹厶
笟;厶瓜竹
笠;竹立
笣;勹已竹
笥;一口竹亅
符;⺅寸竹
笧;一丨亅冂廾冊竹
笨;丨竹木
笩;⺅弋竹
笪;一日竹
笫;亅牙竹
第;弓竹
笭;一丨丶亅𠆢マ竹
笮;一丨丿竹
笯;又女竹
笰;廾弓竹
笱;勹口竹
笳;口竹力
笴;一亅口竹
笵;⺡竹卩
笶;竹矢
笹;世竹
笻;卩工竹
笽;皿竹
笿;口夂竹
筀;土竹
筁;丨日竹
筅;竹土儿
筆;竹聿
筇;工⻏竹
筈;口舌竹
等;寸竹土
筋;月竹力
筌;王竹𠆢
筍;竹日勹
筎;口女竹
筏;⺅竹戈
筐;王竹匚
筑;工竹丶几
筒;口竹冂
答;口竹𠆢
筕;彳竹行
策;丨巾竹ハ木亅冂
筝;ヨ竹亅勹
筠;一丶勹土竹
筤;丶竹艮
筥;口竹
筦;二儿宀元竹
筧;見竹
筩;マ用竹
筪;丨匚日田竹
筬;丿竹戈
筭;一丨二廾竹
筮;工人竹
筯;力目竹
筰;丨丿⺅竹
筱;⺅竹攵丨
筲;小⺌月竹
筳;丿土士廴王竹
筴;人大竹
筵;止竹廴丿
筷;人ユ⺖竹
筹;一丿二寸竹
筺;王竹匚丶
筿;夂木竹
箄;丿十日白竹
箆;竹比冂
箇;口十竹囗
箉;力口⺘竹
箋;竹戈
箍;巾竹匚⺘
箎;几匕卜厂竹虍
箏;ヨ竹爪亅
箐;一丨二亠冂土月竹青
箑;土ヨ竹走
箒;ヨ巾竹冖
箔;⺡竹白
箕;甘竹ハ
箖;木竹
算;竹目廾
箘;禾竹囗
箙;月竹又卩
箚;⺉口竹𠆢
箛;厶子瓜竹
箜;穴工竹儿宀
箝;甘竹⺘
箞;一丶丿乙亅ハ丷大竹
箟;竹日比
箠;一丨丿二竹
管;口竹宀
箥;丿十厂又⺡支竹
箪;十⺌竹田
箬;一丿口⺾竹
箭;一⺉月竹丷
箯;一丶丿⺅日竹
箰;勹子日竹
箱;竹木目
箲;丿儿土⺡竹
箴;丿口竹戈
箵;丿小目竹
箶;十口月竹
箸;竹日⺹
箺;一丶丿二大日曰竹
箻;丨二ヨ彳竹聿
箼;一厶土尸竹
箽;一丿竹車
節;艮竹卩
篁;王竹白
篂;日曰生竹
範;乙車竹卩
篅;山竹而
篆;彑竹豕
篇;丨一戸竹冂冊尸
篈;土寸竹
築;工竹木丶几
篊;丨二ハ⺡竹
篋;人大竹匚
篌;⺅竹矢ユ
篏;甘欠竹
篔;ハ口目竹貝
篖;丨口广ヨ竹
篗;又竹隹
篙;亠冂口竹高
篚;匚竹非
篛;冫弓竹
篝;丨一竹二冂
篠;丨⺅竹木攵
篤;竹⺣馬
篥;西竹木
篦;竹比囗
篨;二𠆢小⻖竹
篩;巾口竹
篪;儿几匕卜厂竹虍
篭;竹立竜
篰;口⻏立竹
篲;一丨二ヨ竹
篳;丨一竹田日
篴;⻌竹豕
篵;人彳止竹
篶;一止竹鳥⺣
篷;⻌竹夂
篸;𠆢厶彡竹
篹;乙亅大目竹
篺;丿十⺘日竹
篼;一丿儿日白竹
篾;丶丿厂戈⺲竹
簀;貝目ハ竹土二亠
簁;彳止竹
簂;一口囗戈竹
簃;丿夕木禾竹
簄;丶乙口尸已⻏巴
簆;二儿卜又宀元竹
簇;竹方矢
簉;丨丿二⻌口土竹
簋;皿竹艮
簌;人勹口木欠竹
簍;丨一口女竹
簎;丨二⺘日竹
簏;匕广比竹鹿
簑;衣一竹亠口
簒;大竹目厶
簓;口十竹冂彡
簔;衣一竹亠口
簗;⺡竹刀木丶
簙;丶十寸月竹
簛;二ハ斤甘竹
簞;一丨十口日田竹
簟;十西竹日曰
簠;丶十日月皿竹
簡;竹日門
簣;丨一貝目ハ口竹
簥;丿冂口大竹
簦;丶丿丷口竹豆
簧;黄竹田ハ
簨;丨二ハ已竹
簪;竹日无
簫;丨丿ヨ水竹隶聿
簬;口夂竹足
簱;丨二ハ方甘竹
簳;一𠆢十干日竹
簴;一丨丶丿ハ匕卜厂竹虍
簶;丨丿二ヨ水⺭竹
簷;言竹儿厂
簸;甘竹皮又
簹;冖口⺌田竹
簺;一丨丶丿二冖土竹
簽;口人竹𠆢
簾;丨ヨ竹ハ广
簿;十⺡寸竹田丶
籀;竹田刀厶⺘
籃;皿臣竹二
籅;ハ竹臼
籆;又⺾竹隹
籊;冫竹羽隹
籌;口工士寸竹
籍;丨一竹土日ハ木亠耒
籏;甘竹ハ方
籐;月人水大竹二丷
籑;一丶大目竹艮
籒;一丨⺘田竹
籓;丿⺡田竹米
籔;女竹米攵
籕;丿刀厶木田竹
籖;竹土戈韭
籗;竹隹雨
籘;月糸幺小人大竹二丷
籙;ヨ彑水竹金
籚;匕卜厂田皿竹虍
籛;戈竹金
籜;一丷十土干⺘⺲竹
籝;一丶亠几口女亡月
籞;丿二儿卩彳止元竹
籟;丨貝目口竹ハ頁木
籠;月竹立
籡;一人𠆢口⺘竹
籣;丷口木竹門
籤;竹戈韭人
籥;丨一口竹𠆢冊龠
籧;匕卜厂⻌竹虍豕
籩;儿ハ⻌宀方目竹自
籬;竹亠凵禸隹
籭;一丶冂匕广比竹鹿
籮;小幺⺲竹糸隹
籯;一丿乙亠ハ口亡月目竹貝
籰;又目竹隹
籲;一丨亅𠆢ハ冂口廾目冊竹貝頁龠
米;米
籵;十米
籹;女米
籼;山米
籽;子米
籾;刀米丶
粁;干米十
粂;久米
粃;比米
粆;丿小米
粇;亠几米
粉;刀丷米ハ
粋;九十米
粍;米毛
粏;丶大米
粐;戸米一尸
粒;米立
粔;匚口米
粕;白米
粗;一米目
粘;口米卜
粛;丨丿ヨ米隶
粞;米西
粟;西米
粠;丨二ハ米
粡;口米冂一
粢;欠米冫
粤;一米囗勹
粥;弓米
粦;夕米舛
粧;土米广
粨;貝目ハ米頁白
粫;而米
粭;口米𠆢
粮;艮米
粰;子爪米
粱;⺡刀丷米
粲;米卜又夕
粳;丿日米
粶;ヨ彑水米
粷;勹米
粹;十人米亠
粺;丿十日白米
粻;米長
粼;夕米舛
粽;示二小米宀
精;月青土二米亠
粿;日木田米
糀;⺅米匕⺾
糂;甘米儿匚
糄;一丨亅冂尸廾戸冊米
糅;米矛木マ
糇;一丿⺅ユ大矢米
糈;月疋米
糉;丶丿儿ハ凵夂米
糊;月口十米
糍;一丷幺米
糎;米里厂
糏;⺌尸月米
糒;米用厂⺾
糓;一冖几又士殳米
糔;丶又米虫
糕;丷⺣王米
糖;口米广
糗;丶大犬目米自
糘;米宀豕
糙;丨丿二⻌口土米
糚;士⺾爿米
糜;米木广麻
糝;𠆢厶彡米
糞;丨一田二丷米井
糟;丨一日米
糠;ヨ水米广隶
糢;大日米⺾
糦;一丷十口士米豆
糧;一日米里
糩;一丨𠆢丷口日米
糫;一口⺲米衣
糯;雨而米
糲;田米厂禸⺾
糴;ヨ入米隹
糵;丨丿十口⺾立米辛
糶;丨ヨ山米隹
糸;糸幺小
糺;乙糸幺小
系;丿糸幺小
糾;丨糸幺小十
紀;糸幺小已
紂;糸幺小寸
紃;小川幺糸
約;糸幺小丶勹
紅;工糸幺小
紆;糸幺小二亅
紇;一丿乙小幺糸
紈;丶九小幺糸
紉;丿刀小幺糸
紊;糸幺小文
紋;糸幺小文
納;糸幺小人冂
紏;小幺斗糸
紐;丨一糸幺小
紑;一丨丶丿小幺糸
紒;丨丿𠆢小幺糸
紓;マ小幺矛糸
純;糸幺小屯
紕;糸幺小比
紖;丨小幺弓糸
紗;丿糸幺小
紘;丿一糸幺小厶
紙;氏糸幺小
級;丿糸幺小及
紛;糸幺小刀ハ
紜;糸幺小二厶
紝;丿士小幺王糸
紞;丿乙冖小尢幺糸
素;糸幺小土亠
紡;糸幺小方
索;糸幺小十冖
紣;十九小幺糸
紦;乙小已幺巴糸
紪;匕小幺止糸
紫;止糸幺小匕
紬;丨糸幺小日田
紭;厶小幺弓糸
紮;乙糸幺小木
累;糸幺小田
細;糸幺小田
紱;丶丿又大小幺弋犬糸
紲;糸幺小世
紳;丨糸幺小日田
紵;糸幺小亅宀
紹;口糸幺小刀
紺;甘糸幺小
紼;小幺廾弓糸
紽;匕宀小幺糸
紾;𠆢小幺彡糸
紿;口糸幺小厶
絀;丨凵小幺糸
絁;一丨丿乙匕小幺也糸
終;糸幺小夂
絃;玄糸幺小亠
組;一糸幺小目
絅;口糸幺小冂
絆;丨糸幺小二丷十
絇;勹口小幺糸
絈;小幺日白糸
絋;糸幺小厶广
経;糸幺小土又
絍;丿⺅士小幺王糸
絎;行糸幺小彳
絏;丿糸幺小日
結;口士糸幺小
絑;一丿小幺木糸
絓;土小幺糸
絖;糸幺小⺌儿
絗;口囗小幺糸
絙;一小幺日糸
絚;一丶二小幺五糸
絛;⺅糸幺小夂攵
絜;一丨二刀小幺糸
絝;二勹大小幺糸
絞;糸幺小父亠
絡;口糸幺小夂
絢;糸幺小日勹
絣;丨丿糸幺小二丷廾
絥;丶⺅大小幺犬糸
給;口糸幺小𠆢
絧;一冂口小幺糸
絨;丿一糸幺小戈
絪;囗大小幺糸
絮;口糸幺小女
絰;一厶土小幺糸至
統;糸幺小亠儿厶
絲;糸幺小
絳;糸幺小二夂
絵;糸幺小二𠆢厶
絶;糸幺小色
絸;儿小幺目糸見
絹;月口糸幺小
絺;一丨丶丿冂小巾幺糸
絻;一丨丿乙儿勹口小幺糸免
絽;口糸幺小
絿;一丶小幺水糸
綁;一丿小幺⻏糸
綂;亠儿口小幺糸
綃;小⺌幺月糸
綅;冖又小幺ヨ糸
綆;一丶丿小幺日糸
綈;丨丿丷小幺弓糸
綉;勿禾糸幺小
綋;一丿厶宀小幺糸
綌;𠆢ハ口小幺糸谷
綍;冖十子小幺糸
綏;糸幺小女爪
綑;囗小幺木糸
經;工糸幺小巛
綖;丿小幺廴止糸
綗;儿ハ冂口小幺糸
継;丨糸幺小米
続;士糸幺小儿冖
綛;丶糸幺小心刀
綜;糸幺小示二小宀
綝;小幺木糸
綞;一丨丿小幺糸
綟;戸糸幺小大一尸
綠;小幺ヨ彑水糸
綢;口糸幺小土冂
綣;糸幺小人大二丷已
綦;丨丶丿二小幺糸
綧;亠口子小幺糸
綪;二亠土小幺月糸青
綫;糸幺小戈
綬;糸幺小爪又冖
維;糸幺小隹
綮;戸糸幺小攵一尸
綯;缶糸幺小凵勹
綰;丨口糸幺小宀
